VIGNES,St Pierre de Clages (collage+huile 40x50) TM18 2013,,,
VIGNES,Le Lavaux (collage+fusain 30x90) TM61 2013,,,
VIGNES,Le Grammont (aquarelle 33x33) A435 2014,,,
VIGNES,Les Murs de vignes (collage+fusain 30x60) TM71 2014,,,
VIGNES,Chemin de vignes  (collage+craie+fusain 40x40) TM72 2014,,,
VIGNES,Vignes (collage+huile+craie 60x60) TM120 2015,,,
VIGNES,Vignes (collage+huile+fusain 30x50) TM122 2015,,,
VIGNES,Le Lavaux (collage+craie 3x30x900) TM175 2016,,,
VIGNES,St Pierre de Clages (collage+craie 50x50) TM176 2016,,,
VIGNES,Vignes (collage 80x100) TM259 2018,,,
VIGNES,Vignes (aqua+pastel 35x45) TM269 2018,,,
VIGNES,Le Rio-d'Enfer (aqua+pastel 33x44) TM274 2018,,,
VIGNES,Vignes (encre+pastel 50x70) TM278 2018,,,
VIGNES,Vignes (pastel 26x39) TM294 2018,,,
VIGNES,Vignoble de Chamoson (acryl+stylo noir 30x90) TM342 2019,,,
VIGNES,Vignoble (collage 35x80) TM345 2019,,,
VIGNES,Vignoble  (encre+collage 42x95 ) TM351 2018,,,
,,,,
,,,,
VILLES,Venise (collage+encre+huile 50x70) TM34 2013,,,
VILLES,Venise (collage+fusain 30x60) TM71 2014,,,
VILLES,Barcelone de Gaudi (collage 50x70) TM59 2013 ,,,
VILLES,Barcelone newtown (collage 50x70) TM64 2013 ,,,
VILLES,Rome (collage 50x70) TM62 2013 ,,,
VILLES,Paris La Seine (collage 50x70) TM69 2014 ,,,
VILLES,Paris 1966 ville enchantée (collage 50x70) TM70 2014 ,,,
VILLES,Japon ancien (collage 50x70) TM86 2014 ,,,
VILLES,Japon moderne (collage 50x70) TM87 2014 ,,,
VILLES,L'Asie Centrale (collage 80x100) TM113  2015 ,,,
VILLES,Ispahan ( encre+fusain 50x70) TM110 2015 ,,,
VILLES,Essaouira (encre+fusain 50x70) TM109 2015,,,
